customer_id,age,gender,income_bracket,loyalty_program,membership_years,churned,marital_status,number_of_children,education_level
1003,54,Other,Low,No,3,Yes,Divorced,3,PhD
1018,58,Female,High,Yes,5,No,Married,2,High School
1020,36,Male,High,Yes,7,Yes,Married,0,High School
1024,54,Other,Low,No,4,Yes,Single,1,Bachelor's
1029,44,Female,High,No,4,Yes,Single,0,Master's
1030,19,Male,High,No,1,Yes,Single,3,Bachelor's
110,40,Female,Low,No,4,Yes,Divorced,1,High School
120,70,Male,Medium,Yes,6,Yes,Divorced,3,Bachelor's
146,52,Male,Low,No,2,No,Married,3,PhD
149,22,Male,Low,No,2,No,Married,1,Master's
155,24,Other,High,No,5,No,Married,3,PhD
156,26,Male,High,No,3,No,Married,4,Master's
167,52,Female,Medium,No,4,Yes,Divorced,4,PhD
168,61,Other,Medium,Yes,1,Yes,Single,3,Bachelor's
178,20,Male,Low,Yes,6,No,Divorced,0,High School
210,30,Male,Low,No,8,Yes,Married,0,High School
226,61,Female,Medium,Yes,8,Yes,Single,4,PhD
245,30,Other,High,No,3,No,Single,0,Bachelor's
250,25,Male,Medium,No,7,No,Single,2,High School
296,19,Female,Medium,No,4,Yes,Divorced,0,Master's
300,49,Female,Medium,No,9,No,Divorced,2,Master's
318,65,Male,Medium,No,2,No,Single,2,Bachelor's
321,26,Male,Medium,No,4,Yes,Single,1,High School
324,23,Other,Medium,Yes,3,No,Divorced,3,Bachelor's
338,24,Male,High,Yes,0,Yes,Married,1,High School
340,58,Male,Low,Yes,9,No,Divorced,2,High School
372,54,Male,High,No,4,Yes,Married,1,High School
395,57,Female,High,Yes,4,Yes,Divorced,1,Bachelor's
411,33,Other,Medium,Yes,3,Yes,Single,4,PhD
434,39,Male,Medium,Yes,5,No,Divorced,0,PhD
486,50,Female,High,Yes,6,No,Married,3,High School
487,20,Male,Medium,Yes,2,No,Married,1,High School
492,71,Other,Low,No,0,Yes,Single,1,Bachelor's
497,41,Other,High,No,0,No,Single,3,PhD
501,70,Male,Low,No,4,Yes,Single,1,PhD
502,39,Female,High,No,9,Yes,Single,3,High School
504,20,Other,Medium,Yes,7,Yes,Married,1,High School
510,44,Female,Low,Yes,9,No,Married,3,Bachelor's
519,68,Other,Medium,No,8,Yes,Single,1,Bachelor's
56,54,Female,Low,No,1,Yes,Single,0,Bachelor's
565,58,Other,Low,Yes,0,Yes,Divorced,0,Master's
597,76,Male,Medium,No,9,No,Divorced,4,High School
599,20,Other,Medium,No,9,Yes,Single,1,Bachelor's
616,60,Female,Medium,Yes,3,Yes,Married,3,High School
632,44,Female,High,No,10,Yes,Divorced,0,Master's
686,41,Male,Low,Yes,8,Yes,Single,1,Bachelor's
726,46,Other,High,Yes,6,Yes,Single,3,Bachelor's
729,28,Male,Low,No,2,No,Single,2,Bachelor's
73,37,Female,Low,No,4,Yes,Single,4,Bachelor's
779,59,Female,High,Yes,1,No,Divorced,0,Master's
799,63,Other,High,No,1,No,Single,3,PhD
876,66,Female,Low,Yes,9,Yes,Divorced,1,Master's
889,70,Female,High,Yes,7,No,Married,4,Bachelor's
890,52,Other,High,No,4,Yes,Divorced,1,High School
892,40,Male,Medium,No,7,No,Single,3,High School
909,64,Other,Medium,No,0,Yes,Married,2,Bachelor's
921,34,Male,High,No,7,Yes,Married,2,PhD
925,48,Female,Medium,Yes,0,No,Married,1,High School
967,30,Other,Medium,Yes,8,Yes,Married,3,High School
974,23,Female,High,Yes,6,No,Single,2,PhD
1027,30,Male,Low,Yes,8,No,Single,0,Bachelor's
1042,75,Female,High,Yes,8,Yes,Married,2,High School
1046,29,Other,High,No,3,Yes,Single,1,Bachelor's
105,48,Other,Low,Yes,6,No,Single,2,Bachelor's
