date_sk,full_date,year,quarter,month,month_name,week_of_year,day,day_of_week,day_name
20231004,2023-10-04,2023,4,10,October,40,4,4,Wednesday
20210709,2021-07-09,2021,3,7,July,27,9,6,Friday
20210718,2021-07-18,2021,3,7,July,28,18,1,Sunday
20231117,2023-11-17,2023,4,11,November,46,17,6,Friday
20230715,2023-07-15,2023,3,7,July,28,15,7,Saturday
20221025,2022-10-25,2022,4,10,October,43,25,3,Tuesday
20210423,2021-04-23,2021,2,4,April,16,23,6,Friday
20210402,2021-04-02,2021,2,4,April,13,2,6,Friday
20220520,2022-05-20,2022,2,5,May,20,20,6,Friday
20210619,2021-06-19,2021,2,6,June,24,19,7,Saturday
20200218,2020-02-18,2020,1,2,February,8,18,3,Tuesday
20220615,2022-06-15,2022,2,6,June,24,15,4,Wednesday
20200219,2020-02-19,2020,1,2,February,8,19,4,Wednesday
20231219,2023-12-19,2023,4,12,December,51,19,3,Tuesday
20211008,2021-10-08,2021,4,10,October,40,8,6,Friday
20210403,2021-04-03,2021,2,4,April,13,3,7,Saturday
20220225,2022-02-25,2022,1,2,February,8,25,6,Friday
20231128,2023-11-28,2023,4,11,November,48,28,3,Tuesday
20230217,2023-02-17,2023,1,2,February,7,17,6,Friday
20221116,2022-11-16,2022,4,11,November,46,16,4,Wednesday
20230801,2023-08-01,2023,3,8,August,31,1,3,Tuesday
20220314,2022-03-14,2022,1,3,March,11,14,2,Monday
20210827,2021-08-27,2021,3,8,August,34,27,6,Friday
20210821,2021-08-21,2021,3,8,August,33,21,7,Saturday
20220706,2022-07-06,2022,3,7,July,27,6,4,Wednesday
20220427,2022-04-27,2022,2,4,April,17,27,4,Wednesday
20231114,2023-11-14,2023,4,11,November,46,14,3,Tuesday
20230224,2023-02-24,2023,1,2,February,8,24,6,Friday
20220329,2022-03-29,2022,1,3,March,13,29,3,Tuesday
20210511,2021-05-11,2021,2,5,May,19,11,3,Tuesday
20221028,2022-10-28,2022,4,10,October,43,28,6,Friday
20200702,2020-07-02,2020,3,7,July,27,2,5,Thursday
20230504,2023-05-04,2023,2,5,May,18,4,5,Thursday
20220219,2022-02-19,2022,1,2,February,7,19,7,Saturday
20200901,2020-09-01,2020,3,9,September,36,1,3,Tuesday
20210708,2021-07-08,2021,3,7,July,27,8,5,Thursday
20230203,2023-02-03,2023,1,2,February,5,3,6,Friday
20210611,2021-06-11,2021,2,6,June,23,11,6,Friday
20200716,2020-07-16,2020,3,7,July,29,16,5,Thursday
20200803,2020-08-03,2020,3,8,August,32,3,2,Monday
20210919,2021-09-19,2021,3,9,September,37,19,1,Sunday
20200403,2020-04-03,2020,2,4,April,14,3,6,Friday
20210629,2021-06-29,2021,2,6,June,26,29,3,Tuesday
20210825,2021-08-25,2021,3,8,August,34,25,4,Wednesday
20210322,2021-03-22,2021,1,3,March,12,22,2,Monday
20210616,2021-06-16,2021,2,6,June,24,16,4,Wednesday
20231009,2023-10-09,2023,4,10,October,41,9,2,Monday
20201022,2020-10-22,2020,4,10,October,43,22,5,Thursday
20231026,2023-10-26,2023,4,10,October,43,26,5,Thursday
20230321,2023-03-21,2023,1,3,March,12,21,3,Tuesday
20220703,2022-07-03,2022,3,7,July,26,3,1,Sunday
20220302,2022-03-02,2022,1,3,March,9,2,4,Wednesday
20220521,2022-05-21,2022,2,5,May,20,21,7,Saturday
20230505,2023-05-05,2023,2,5,May,18,5,6,Friday
20220328,2022-03-28,2022,1,3,March,13,28,2,Monday
20230603,2023-06-03,2023,2,6,June,22,3,7,Saturday
20231220,2023-12-20,2023,4,12,December,51,20,4,Wednesday
20221219,2022-12-19,2022,4,12,December,51,19,2,Monday
20230211,2023-02-11,2023,1,2,February,6,11,7,Saturday
20230529,2023-05-29,2023,2,5,May,22,29,2,Monday
20220404,2022-04-04,2022,2,4,April,14,4,2,Monday
20220531,2022-05-31,2022,2,5,May,22,31,3,Tuesday
20230622,2023-06-22,2023,2,6,June,25,22,5,Thursday
20220504,2022-05-04,2022,2,5,May,18,4,4,Wednesday
20220809,2022-08-09,2022,3,8,August,32,9,3,Tuesday
20230812,2023-08-12,2023,3,8,August,32,12,7,Saturday
20210120,2021-01-20,2021,1,1,January,3,20,4,Wednesday
20210413,2021-04-13,2021,2,4,April,15,13,3,Tuesday
20200228,2020-02-28,2020,1,2,February,9,28,6,Friday
20200321,2020-03-21,2020,1,3,March,12,21,7,Saturday
20200730,2020-07-30,2020,3,7,July,31,30,5,Thursday
20220117,2022-01-17,2022,1,1,January,3,17,2,Monday
20221010,2022-10-10,2022,4,10,October,41,10,2,Monday
20200414,2020-04-14,2020,2,4,April,16,14,3,Tuesday
20210716,2021-07-16,2021,3,7,July,28,16,6,Friday
20220906,2022-09-06,2022,3,9,September,36,6,3,Tuesday
20210712,2021-07-12,2021,3,7,July,28,12,2,Monday
20230506,2023-05-06,2023,2,5,May,18,6,7,Saturday
20220224,2022-02-24,2022,1,2,February,8,24,5,Thursday
20210221,2021-02-21,2021,1,2,February,7,21,1,Sunday
20211102,2021-11-02,2021,4,11,November,44,2,3,Tuesday
20231120,2023-11-20,2023,4,11,November,47,20,2,Monday
20221129,2022-11-29,2022,4,11,November,48,29,3,Tuesday
20230624,2023-06-24,2023,2,6,June,25,24,7,Saturday
20210323,2021-03-23,2021,1,3,March,12,23,3,Tuesday
20201024,2020-10-24,2020,4,10,October,43,24,7,Saturday
20210724,2021-07-24,2021,3,7,July,29,24,7,Saturday
20220405,2022-04-05,2022,2,4,April,14,5,3,Tuesday
20201225,2020-12-25,2020,4,12,December,52,25,6,Friday
20200330,2020-03-30,2020,1,3,March,14,30,2,Monday
20231103,2023-11-03,2023,4,11,November,44,3,6,Friday
20210515,2021-05-15,2021,2,5,May,19,15,7,Saturday
20220425,2022-04-25,2022,2,4,April,17,25,2,Monday
20230517,2023-05-17,2023,2,5,May,20,17,4,Wednesday
20210806,2021-08-06,2021,3,8,August,31,6,6,Friday
20210530,2021-05-30,2021,2,5,May,21,30,1,Sunday
20221006,2022-10-06,2022,4,10,October,40,6,5,Thursday
20200429,2020-04-29,2020,2,4,April,18,29,4,Wednesday
20211119,2021-11-19,2021,4,11,November,46,19,6,Friday
20201123,2020-11-23,2020,4,11,November,48,23,2,Monday
20230628,2023-06-28,2023,2,6,June,26,28,4,Wednesday
20221231,2022-12-31,2022,4,12,December,52,31,7,Saturday
20221031,2022-10-31,2022,4,10,October,44,31,2,Monday
20231108,2023-11-08,2023,4,11,November,45,8,4,Wednesday
20200229,2020-02-29,2020,1,2,February,9,29,7,Saturday
20220213,2022-02-13,2022,1,2,February,6,13,1,Sunday
20200322,2020-03-22,2020,1,3,March,12,22,1,Sunday
20210428,2021-04-28,2021,2,4,April,17,28,4,Wednesday
20220401,2022-04-01,2022,2,4,April,13,1,6,Friday
20220211,2022-02-11,2022,1,2,February,6,11,6,Friday
20231021,2023-10-21,2023,4,10,October,42,21,7,Saturday
20220331,2022-03-31,2022,1,3,March,13,31,5,Thursday
20211002,2021-10-02,2021,4,10,October,39,2,7,Saturday
20210131,2021-01-31,2021,1,1,January,4,31,1,Sunday
20211126,2021-11-26,2021,4,11,November,47,26,6,Friday
20220616,2022-06-16,2022,2,6,June,24,16,5,Thursday
20230410,2023-04-10,2023,2,4,April,15,10,2,Monday
20220510,2022-05-10,2022,2,5,May,19,10,3,Tuesday
20220513,2022-05-13,2022,2,5,May,19,13,6,Friday
20231211,2023-12-11,2023,4,12,December,50,11,2,Monday
20230501,2023-05-01,2023,2,5,May,18,1,2,Monday
20230512,2023-05-12,2023,2,5,May,19,12,6,Friday
20220407,2022-04-07,2022,2,4,April,14,7,5,Thursday
20231205,2023-12-05,2023,4,12,December,49,5,3,Tuesday
20230606,2023-06-06,2023,2,6,June,23,6,3,Tuesday
20220917,2022-09-17,2022,3,9,September,37,17,7,Saturday
20230418,2023-04-18,2023,2,4,April,16,18,3,Tuesday
20230502,2023-05-02,2023,2,5,May,18,2,3,Tuesday
20230108,2023-01-08,2023,1,1,January,1,8,1,Sunday
20230511,2023-05-11,2023,2,5,May,19,11,5,Thursday
20200811,2020-08-11,2020,3,8,August,33,11,3,Tuesday
20220423,2022-04-23,2022,2,4,April,16,23,7,Saturday
20230421,2023-04-21,2023,2,4,April,16,21,6,Friday
20230524,2023-05-24,2023,2,5,May,21,24,4,Wednesday
20200712,2020-07-12,2020,3,7,July,28,12,1,Sunday
20210828,2021-08-28,2021,3,8,August,34,28,7,Saturday
20220418,2022-04-18,2022,2,4,April,16,18,2,Monday
20220324,2022-03-24,2022,1,3,March,12,24,5,Thursday
20210302,2021-03-02,2021,1,3,March,9,2,3,Tuesday
20231202,2023-12-02,2023,4,12,December,48,2,7,Saturday
20200713,2020-07-13,2020,3,7,July,29,13,2,Monday
20211104,2021-11-04,2021,4,11,November,44,4,5,Thursday
20220511,2022-05-11,2022,2,5,May,19,11,4,Wednesday
20230330,2023-03-30,2023,1,3,March,13,30,5,Thursday
20210315,2021-03-15,2021,1,3,March,11,15,2,Monday
20200620,2020-06-20,2020,2,6,June,25,20,7,Saturday
20220822,2022-08-22,2022,3,8,August,34,22,2,Monday
20230204,2023-02-04,2023,1,2,February,5,4,7,Saturday
20200629,2020-06-29,2020,2,6,June,27,29,2,Monday
20230907,2023-09-07,2023,3,9,September,36,7,5,Thursday
20230429,2023-04-29,2023,2,4,April,17,29,7,Saturday
20201009,2020-10-09,2020,4,10,October,41,9,6,Friday
20210926,2021-09-26,2021,3,9,September,38,26,1,Sunday
20200416,2020-04-16,2020,2,4,April,16,16,5,Thursday
20220420,2022-04-20,2022,2,4,April,16,20,4,Wednesday
20230721,2023-07-21,2023,3,7,July,29,21,6,Friday
20220817,2022-08-17,2022,3,8,August,33,17,4,Wednesday
20200709,2020-07-09,2020,3,7,July,28,9,5,Thursday
20210330,2021-03-30,2021,1,3,March,13,30,3,Tuesday
20221018,2022-10-18,2022,4,10,October,42,18,3,Tuesday
20200610,2020-06-10,2020,2,6,June,24,10,4,Wednesday
20200205,2020-02-05,2020,1,2,February,6,5,4,Wednesday
20200311,2020-03-11,2020,1,3,March,11,11,4,Wednesday
20200609,2020-06-09,2020,2,6,June,24,9,3,Tuesday
20210202,2021-02-02,2021,1,2,February,5,2,3,Tuesday
20230905,2023-09-05,2023,3,9,September,36,5,3,Tuesday
20230328,2023-03-28,2023,1,3,March,13,28,3,Tuesday
20210810,2021-08-10,2021,3,8,August,32,10,3,Tuesday
20230901,2023-09-01,2023,3,9,September,35,1,6,Friday
20220815,2022-08-15,2022,3,8,August,33,15,2,Monday
20221126,2022-11-26,2022,4,11,November,47,26,7,Saturday
20230629,2023-06-29,2023,2,6,June,26,29,5,Thursday
20220715,2022-07-15,2022,3,7,July,28,15,6,Friday
20210731,2021-07-31,2021,3,7,July,30,31,7,Saturday
