product_id,product_name,product_brand,product_category,product_rating,product_review_count,product_stock,product_return_rate,product_size,product_weight
921,Product A,Brand X,Clothing,4.5,196,4,0.05,Small,5.66
7035,Product D,Brand Z,Furniture,3,113,20,0.46,Small,8.42
3633,Product B,Brand Z,Groceries,3.7,443,13,0.19,Medium,5.4
5096,Product C,Brand Y,Electronics,2.5,446,98,0.25,Small,1.13
2741,Product C,Brand X,Clothing,4.5,277,74,0.39,Medium,1.24
686,Product B,Brand X,Furniture,3.1,959,45,0.35,Large,1.77
9876,Product A,Brand Z,Clothing,3.4,424,31,0.3,Small,3.64
9953,Product D,Brand Z,Furniture,4.2,620,41,0.29,Large,3.12
10058,Product E,Brand Y,Clothing,4.1,461,40,0.08,Medium,7.43
2900,Product D,Brand Y,Clothing,4.5,223,65,0.42,Medium,6.02
5850,Product C,Brand Y,Clothing,1.3,382,75,0.09,Small,3.25
9882,Product B,Brand Z,Furniture,3.8,951,41,0.46,Medium,2.25
9977,Product B,Brand Z,Groceries,4.4,199,69,0.41,Large,2.68
9908,Product C,Brand Y,Clothing,4.3,358,68,0.36,Medium,5.57
10001,Product B,Brand X,Groceries,2.1,163,66,0.43,Medium,4.94
10234,Product E,Brand X,Groceries,2.5,632,73,0.12,Medium,4.25
10265,Product B,Brand Y,Toys,4,991,93,0.21,Large,6.86
10369,Product C,Brand X,Furniture,5,205,10,0.41,Medium,4.28
6559,Product A,Brand X,Toys,4.6,748,12,0.27,Large,4.91
10192,Product A,Brand Y,Electronics,3.9,956,23,0.36,Large,4.4
10349,Product A,Brand X,Furniture,3.9,835,19,0.38,Large,3.69
616,Product D,Brand X,Electronics,3.1,67,73,0.26,Large,4.69
8215,Product B,Brand X,Electronics,1.7,694,67,0.13,Small,2.28
149,Product A,Brand Z,Clothing,2.2,773,77,0.11,Large,8.66
10301,Product C,Brand Y,Clothing,4.4,455,3,0.46,Medium,5.85
7791,Product C,Brand Z,Groceries,2.9,979,30,0.22,Small,1.81
7825,Product D,Brand Y,Clothing,1.1,293,79,0.49,Medium,3.49
9713,Product D,Brand Y,Electronics,1.8,336,45,0.03,Medium,1.82
7642,Product D,Brand Z,Clothing,1.8,926,64,0.11,Medium,7.34
5282,Product B,Brand X,Furniture,4.2,332,34,0.35,Medium,0.32
10241,Product B,Brand Z,Clothing,3.6,867,73,0.06,Small,0.31
10341,Product E,Brand X,Electronics,4.4,389,84,0.07,Small,4.95
4375,Product C,Brand Y,Clothing,1.9,937,66,0.31,Medium,3.71
6705,Product B,Brand X,Electronics,2.5,263,55,0.48,Small,7.95
9936,Product B,Brand X,Clothing,2.8,876,97,0.46,Small,6.49
9986,Product A,Brand X,Clothing,3.9,644,51,0.47,Small,1.26
10051,Product A,Brand Y,Clothing,4,15,14,0.13,Small,4.11
7345,Product D,Brand Z,Toys,4.8,697,23,0.44,Large,4.63
1597,Product C,Brand X,Groceries,4.7,413,80,0.3,Medium,0.84
10043,Product A,Brand Y,Groceries,4.5,370,52,0.16,Small,6.87
10255,Product B,Brand Y,Electronics,3.8,709,13,0.47,Large,1.08
2761,Product A,Brand Y,Furniture,4.5,960,64,0.41,Large,8.51
3188,Product C,Brand X,Toys,1.6,490,78,0.46,Medium,2.43
10096,Product E,Brand Y,Electronics,3.3,969,87,0.09,Medium,4.58
9742,Product B,Brand X,Clothing,2.9,924,20,0.34,Large,6.31
7883,Product B,Brand X,Clothing,1.5,330,20,0.16,Medium,4.91
