sales_sk,transaction_id,customer_sk,product_sk,promotion_sk,date_sk,transaction_date,quantity,unit_price,discount_applied
56,1482550,2535,,388,20230114,2023-01-14,5,69.21,0.5
72,1756072,2457,,322,,,1,84.22,0.37
73,1758292,3022,,294,20220804,2022-08-04,8,278.05,0.29
118,215935,2234,256,61,20200713,2020-07-13,8,492,0.3
121,2184682,2428,,139,20220906,2022-09-06,7,800.17,0.16
127,226330,2237,920,709,20201015,2020-10-15,1,757.48,0
133,2340960,2703,,131,20221021,2022-10-21,10,762.24,0.05
150,2471154,2979,,810,20220523,2022-05-23,3,594.59,0.3
156,250548,2675,367,56,20210430,2021-04-30,6,520.44,0.15
158,251460,2532,396,791,20210101,2021-01-01,3,269.35,0.34
169,262999,2373,797,710,20201008,2020-10-08,8,173.79,0.11
173,267186,2463,806,395,20200102,2020-01-02,9,363.53,0.14
225,310093,2506,810,304,20200930,2020-09-30,2,354.25,0.13
228,31286,2410,336,447,20210908,2021-09-08,9,250.45,0.13
236,32060,2362,139,221,20200629,2020-06-29,4,403.26,0.49
238,3221143,2172,,690,20220818,2022-08-18,3,197.88,0
244,3285180,2473,,56,20221214,2022-12-14,10,0,0.32
257,34514,2436,273,616,20200111,2020-01-11,6,146.35,0.1
271,354607,2367,522,520,20211008,2021-10-08,3,919.27,0.07
281,3691813,2512,,821,20221102,2022-11-02,6,657.81,0.4
282,3697864,3136,,839,20230210,2023-02-10,2,552.1,0.35
301,383028,2392,197,513,20200209,2020-02-09,1,788.14,0.21
357,433382,2197,918,257,20201028,2020-10-28,5,367.28,0.39
360,435739,2268,135,89,20201122,2020-11-22,8,885.17,0.41
362,435937,2175,991,355,20201009,2020-10-09,4,272,0.23
379,4545967,2907,,561,20220428,2022-04-28,2,91.29,0.4
384,4578369,2757,,481,20230914,2023-09-14,9,108.41,0.22
386,4623062,2795,,368,,,3,174.78,0.3
404,4792538,2591,,4,20220509,2022-05-09,1,625.07,0.07
415,4925699,2598,,619,20231028,2023-10-28,5,217.2,0
423,4948177,2492,,97,20231219,2023-12-19,7,458.79,0.19
447,5092808,2988,,859,20230224,2023-02-24,3,196.41,0.29
477,5313219,3068,,639,20220329,2022-03-29,7,938.43,0.03
478,5322740,2912,,211,20220930,2022-09-30,6,389.58,0.37
490,5457621,2233,,64,20220329,2022-03-29,6,817.24,0.13
496,551630,2281,136,130,20210409,2021-04-09,5,743.48,0.35
512,56139,2348,728,651,20211008,2021-10-08,9,41.84,0.05
516,562960,2570,592,444,20210125,2021-01-25,7,869.3,0.01
521,5662403,2958,,804,20220119,2022-01-19,8,427.8,0
553,592610,2576,1008,356,20210511,2021-05-11,8,971.07,0.04
596,6267457,2784,,652,20230525,2023-05-25,5,535.41,0.35
641,6664145,2579,,538,20221216,2022-12-16,8,282.92,0.17
658,6853927,2471,,250,20230927,2023-09-27,1,468.87,0.37
660,687883,2556,463,232,20210827,2021-08-27,3,439.92,0.19
661,6895383,2451,,793,20231120,2023-11-20,10,454.36,0.35
682,7072004,2566,,56,20230717,2023-07-17,2,324.73,0.23
706,7264816,2506,,281,20220920,2022-09-20,6,411.36,0.27
