transaction_hour,day_of_week,transaction_count
5,Wednesday,20
22,Thursday,19
5,Sunday,19
8,Thursday,18
7,Wednesday,18
2,Saturday,17
20,Saturday,17
22,Wednesday,17
1,Saturday,17
2,Sunday,17
20,Tuesday,16
3,Tuesday,16
13,Wednesday,16
18,Saturday,15
3,Thursday,15
15,Wednesday,15
11,Wednesday,15
19,Sunday,15
11,Sunday,15
1,Wednesday,15
13,Monday,14
19,Tuesday,14
17,Monday,14
4,Sunday,14
7,Friday,14
22,Monday,14
5,Tuesday,13
7,Sunday,13
10,Saturday,13
7,Tuesday,13
19,Saturday,13
6,Friday,13
9,Saturday,13
14,Monday,13
8,Sunday,13
18,Thursday,13
21,Tuesday,13
18,Tuesday,13
12,Wednesday,13
20,Wednesday,12
2,Tuesday,12
20,Thursday,12
0,Friday,12
12,Thursday,12
14,Thursday,12
8,Wednesday,12
20,Friday,12
11,Friday,12
10,Thursday,12
Unknown,Wednesday,12
22,Tuesday,12
23,Tuesday,12
23,Saturday,12
10,Wednesday,12
21,Thursday,12
9,Tuesday,12
6,Monday,12
15,Thursday,12
1,Friday,12
19,Wednesday,12
15,Monday,11
2,Thursday,11
13,Thursday,11
Unknown,Sunday,11
17,Wednesday,11
5,Thursday,11
6,Wednesday,11
4,Friday,11
14,Wednesday,11
2,Monday,11
11,Thursday,11
0,Tuesday,11
19,Monday,11
18,Sunday,11
6,Thursday,11
9,Friday,11
10,Unknown,11
9,Thursday,11
11,Tuesday,11
12,Sunday,11
14,Unknown,11
16,Unknown,10
16,Sunday,10
5,Monday,10
15,Tuesday,10
Unknown,Monday,10
9,Wednesday,10
22,Saturday,10
17,Friday,10
20,Sunday,10
21,Unknown,10
0,Thursday,10
1,Sunday,10
Unknown,Unknown,10
4,Tuesday,10
4,Monday,10
17,Saturday,10
5,Saturday,10
12,Monday,10
Unknown,Thursday,10
11,Monday,10
22,Sunday,10
10,Monday,10
13,Sunday,10
0,Unknown,10
0,Monday,10
17,Tuesday,10
23,Sunday,10
14,Saturday,10
8,Friday,9
13,Friday,9
16,Tuesday,9
5,Friday,9
23,Friday,9
Unknown,Saturday,9
8,Monday,9
6,Sunday,9
3,Saturday,9
17,Unknown,9
Unknown,Tuesday,9
21,Friday,9
3,Wednesday,9
3,Monday,9
8,Saturday,9
12,Unknown,9
16,Friday,9
1,Thursday,9
11,Saturday,9
12,Saturday,9
17,Sunday,9
3,Sunday,9
18,Wednesday,9
17,Thursday,9
19,Thursday,9
3,Unknown,9
0,Wednesday,9
14,Sunday,9
15,Saturday,8
2,Friday,8
21,Wednesday,8
7,Thursday,8
16,Wednesday,8
13,Saturday,8
12,Tuesday,8
8,Unknown,8
23,Wednesday,8
4,Wednesday,8
8,Tuesday,8
21,Saturday,8
21,Sunday,8
19,Friday,8
12,Friday,8
1,Tuesday,8
9,Unknown,8
16,Saturday,7
2,Wednesday,7
7,Monday,7
6,Saturday,7
16,Monday,7
6,Tuesday,7
3,Friday,7
15,Unknown,7
9,Sunday,7
9,Monday,7
19,Unknown,7
18,Friday,7
15,Friday,7
7,Unknown,7
20,Unknown,7
18,Monday,6
5,Unknown,6
15,Sunday,6
10,Tuesday,6
18,Unknown,6
22,Unknown,6
22,Friday,6
14,Friday,6
Unknown,Friday,6
0,Saturday,6
11,Unknown,6
7,Saturday,6
4,Saturday,6
4,Thursday,6
16,Thursday,6
23,Monday,5
10,Sunday,5
23,Thursday,5
0,Sunday,5
23,Unknown,5
21,Monday,5
1,Unknown,5
1,Monday,5
4,Unknown,4
14,Tuesday,4
6,Unknown,4
10,Friday,4
13,Tuesday,4
13,Unknown,4
20,Monday,4
2,Unknown,1
